Date,Open,High,Low,Close,AdjClose,Volume,Name,Brand
02-11-2017,435.7000122,440.3999939,429.8999939,434.8999939,434.8999939,8262211,TATAMOTORS.NS,Tata
03-11-2017,434,449.3500061,432.6499939,447.7000122,447.7000122,8116263,TATAMOTORS.NS,Tata
06-11-2017,445.75,468,443.5499878,462.8999939,462.8999939,19456789,TATAMOTORS.NS,Tata
07-11-2017,458.2000122,465.8999939,450.0499878,451.8500061,451.8500061,13266543,TATAMOTORS.NS,Tata
08-11-2017,448,455,431.2999878,438.2000122,438.2000122,11193613,TATAMOTORS.NS,Tata
09-11-2017,442.1000061,450.8999939,425.6499939,440.1499939,440.1499939,40547266,TATAMOTORS.NS,Tata
10-11-2017,438.9500122,438.9500122,420,422.5499878,422.5499878,22534490,TATAMOTORS.NS,Tata
13-11-2017,423,427.5,416.1000061,418.1000061,418.1000061,9857544,TATAMOTORS.NS,Tata
14-11-2017,418.5499878,421.8500061,410.6499939,414.2999878,414.2999878,8987515,TATAMOTORS.NS,Tata
15-11-2017,414.2999878,417.5499878,407,408.6499939,408.6499939,9867270,TATAMOTORS.NS,Tata
16-11-2017,411.3500061,415.8999939,411.3500061,413.4500122,413.4500122,6291441,TATAMOTORS.NS,Tata
17-11-2017,419.4500122,423.4500122,417,421.7999878,421.7999878,6191428,TATAMOTORS.NS,Tata
20-11-2017,421,425.7000122,420.1000061,423,423,4051153,TATAMOTORS.NS,Tata
21-11-2017,424.4500122,430,422.5,424.25,424.25,6745407,TATAMOTORS.NS,Tata
22-11-2017,425.4500122,433,424.5,428.6000061,428.6000061,7899417,TATAMOTORS.NS,Tata
23-11-2017,428.6000061,431.0499878,422.4500122,426.25,426.25,7374216,TATAMOTORS.NS,Tata
24-11-2017,427,429.9500122,424.25,425.5,425.5,5108182,TATAMOTORS.NS,Tata
27-11-2017,423,424.75,417.7999878,421.3999939,421.3999939,7946028,TATAMOTORS.NS,Tata
28-11-2017,419.7999878,422.25,414.5,415.9500122,415.9500122,6217480,TATAMOTORS.NS,Tata
29-11-2017,415.8999939,419.4500122,412.0499878,413.9500122,413.9500122,4327453,TATAMOTORS.NS,Tata
30-11-2017,410.3999939,412.25,402.25,404.1499939,404.1499939,25646262,TATAMOTORS.NS,Tata
01-12-2017,407.8999939,410.25,396.5,398.8999939,398.8999939,7959197,TATAMOTORS.NS,Tata
04-12-2017,405.7999878,411.25,401.7000122,403.6499939,403.6499939,10043491,TATAMOTORS.NS,Tata
05-12-2017,404.5499878,405.5,396.5499878,402.25,402.25,7144542,TATAMOTORS.NS,Tata
